shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10033,50.472396,-104.596780,140001,2.888
10033,50.472394,-104.597699,140002,2.953
10033,50.472399,-104.599150,140003,3.056
10033,50.472398,-104.599739,140004,3.098
10033,50.472398,-104.599739,150001,3.098
10033,50.472395,-104.600588,150002,3.158
10033,50.472399,-104.601750,150003,3.240
10033,50.472399,-104.601750,160001,3.240
10033,50.472400,-104.602039,160002,3.261
10033,50.472405,-104.603477,160003,3.363
10033,50.472404,-104.603960,160004,3.397
10033,50.472404,-104.603960,170001,3.397
10033,50.472401,-104.604914,170002,3.465
10033,50.472415,-104.606408,170003,3.571
10033,50.472039,-104.606411,170004,3.613
10033,50.472039,-104.606411,180001,3.613
10033,50.470850,-104.606421,180002,3.745
10033,50.470420,-104.606417,180003,3.793
10033,50.470420,-104.606417,190001,3.793
10033,50.469515,-104.606411,190002,3.893
10033,50.468449,-104.606403,190003,4.012
10033,50.467980,-104.606404,190004,4.064
10033,50.467980,-104.606404,200001,4.064
10033,50.467505,-104.606403,200002,4.117
10033,50.466227,-104.606403,200003,4.259
10033,50.462944,-104.606403,200004,4.624
10033,50.461710,-104.606402,200005,4.761
10033,50.461710,-104.606402,210001,4.761
10033,50.461398,-104.606402,210002,4.796
10033,50.459842,-104.606401,210003,4.969
10033,50.459270,-104.606400,210004,5.032
10033,50.459270,-104.606400,220001,5.032
10033,50.458295,-104.606399,220002,5.141
10033,50.456739,-104.606398,220003,5.314
10033,50.456350,-104.606399,220004,5.357
10033,50.456350,-104.606399,230001,5.357
10033,50.455094,-104.606398,230002,5.497
10033,50.453021,-104.606404,230003,5.727
10033,50.452103,-104.606407,230004,5.829
10033,50.451190,-104.606409,230005,5.931
10033,50.451190,-104.606409,240001,5.931
10033,50.450372,-104.606412,240002,6.022
10033,50.450377,-104.607916,240003,6.129
10033,50.450374,-104.609230,240004,6.222
10033,50.450374,-104.609230,250001,6.222
10033,50.450373,-104.609367,250002,6.232
10033,50.450369,-104.610818,250003,6.335
10033,50.450374,-104.612254,250004,6.437
10033,50.450378,-104.613470,250005,6.523
10033,50.450378,-104.613470,260001,6.523
